experiment,target,model,train_rows,test_rows,heldout_cell,fewshot_k,r2,mae,rmse,mape_pct
cell_fewshot_from_scratch,power_avg_uW,GradientBoosting,5,75,XOR2,5,-0.027585743531038487,3.044043605734224,3.6173221305801513,57.24485894580537
cell_transfer,delay_avg_ns,RandomForest,250,70,XOR2,10,0.6348086760503548,0.10770425956158672,0.14844419905597447,25.5567507971495
cell_transfer,delay_avg_ns,GradientBoosting,250,70,XOR2,10,0.8386133132258984,0.06916224112884618,0.09868175351635251,16.62083886254982
cell_transfer,delay_avg_ns,MLP,250,70,XOR2,10,0.53387572572905,0.13500617109054913,0.16770803300808132,42.57755162282541
cell_fewshot_from_scratch,delay_avg_ns,RandomForest,10,70,XOR2,10,0.11897877004252622,0.1325787140104083,0.23056649204335788,30.584712839147848
cell_fewshot_from_scratch,delay_avg_ns,GradientBoosting,10,70,XOR2,10,0.01899940696953628,0.15204130122688292,0.24329749650858687,34.83269529101832
cell_transfer,power_avg_uW,RandomForest,250,70,XOR2,10,0.49994956600164064,1.9917329059285087,2.4611080600510373,24.586622420056166
cell_transfer,power_avg_uW,GradientBoosting,250,70,XOR2,10,0.8005426265364946,1.2114900890748705,1.5543500315433625,14.97281708768982
cell_transfer,power_avg_uW,MLP,250,70,XOR2,10,0.8054054664453112,1.2166644244163323,1.5352853171339478,16.931211867758826
cell_fewshot_from_scratch,power_avg_uW,RandomForest,10,70,XOR2,10,0.644335450768304,1.6775092009496615,2.075601940403682,29.978530990881826
cell_fewshot_from_scratch,power_avg_uW,GradientBoosting,10,70,XOR2,10,0.6623005665324941,1.6349558473801684,2.0225019288874004,28.735323371296385
cell_transfer,delay_avg_ns,RandomForest,260,60,XOR2,20,0.6194838792256242,0.09284763998342978,0.12349992591179595,23.007243738661447
cell_transfer,delay_avg_ns,GradientBoosting,260,60,XOR2,20,0.7566668450320072,0.06961105250291597,0.09875993837824101,16.889330511549627
cell_transfer,delay_avg_ns,MLP,260,60,XOR2,20,0.7519991946274681,0.07820080473541131,0.099702652467668,23.42762233589339
cell_fewshot_from_scratch,delay_avg_ns,RandomForest,20,60,XOR2,20,0.3502224805391583,0.12623312013279103,0.16138475515471282,38.99298941575422
cell_fewshot_from_scratch,delay_avg_ns,GradientBoosting,20,60,XOR2,20,0.03155388791511893,0.12663697397801038,0.19702343964741315,35.5912097786957
cell_transfer,power_avg_uW,RandomForest,260,60,XOR2,20,0.7938504281591263,1.2202188319782978,1.5728616806024276,16.876807311517567
cell_transfer,power_avg_uW,GradientBoosting,260,60,XOR2,20,0.9494148462473061,0.6299502536882913,0.7791316568909336,9.54669451050618
cell_transfer,power_avg_uW,MLP,260,60,XOR2,20,0.9734595136121363,0.44660168641428893,0.5643567868263006,7.558838019082308
cell_fewshot_from_scratch,power_avg_uW,RandomForest,20,60,XOR2,20,0.7737028651590827,1.3424165666613748,1.647930307464989,27.813271949536865
cell_fewshot_from_scratch,power_avg_uW,GradientBoosting,20,60,XOR2,20,0.6391212834264612,1.6449253483790778,2.081037700868387,26.8789846528674
cell_transfer,delay_avg_ns,RandomForest,280,40,XOR2,40,0.6822623145372424,0.09723510092993656,0.14969450337730253,18.43438554225927
cell_transfer,delay_avg_ns,GradientBoosting,280,40,XOR2,40,0.8628139324033692,0.06762113873000061,0.09836180589385014,14.940115209669925
cell_transfer,delay_avg_ns,MLP,280,40,XOR2,40,0.8868079915192475,0.06888323437649656,0.08934687620195274,19.02364290475366
cell_fewshot_from_scratch,delay_avg_ns,RandomForest,40,40,XOR2,40,0.4448953984328865,0.12293087137202385,0.1978604095636296,25.302780449940272
cell_fewshot_from_scratch,delay_avg_ns,GradientBoosting,40,40,XOR2,40,0.525175002786648,0.10148712548502022,0.18299460121236372,17.817680645305213
cell_transfer,power_avg_uW,RandomForest,280,40,XOR2,40,0.8895426469982107,0.9346030648507717,1.2085282227849177,14.264836392504051
cell_transfer,power_avg_uW,GradientBoosting,280,40,XOR2,40,0.9526775488142105,0.6392511603910755,0.791030259705597,9.920413811001831
cell_transfer,power_avg_uW,MLP,280,40,XOR2,40,0.9911751941911886,0.27164264735312693,0.3415954362850744,4.887295969109793
cell_fewshot_from_scratch,power_avg_uW,RandomForest,40,40,XOR2,40,0.8720593530499665,1.003685473678319,1.3006599043522098,21.304829130523473
cell_fewshot_from_scratch,power_avg_uW,GradientBoosting,40,40,XOR2,40,0.8984784402325382,0.9254722268248049,1.1586135998428728,17.387185919190458
